2.00

SCRIPTFX_INFO_START


#SINGLEPLAYER SCRIPT NAME	PTFX ASSET NAME

agency_heist3a				scr_agencyheist
agency_heist3b				scr_agencyheistb
agency_heist4a				scr_agencyheist
armenian1					scr_armenian1
armenian2					scr_armenian2
armenian3					scr_armenian3
barry1						scr_rcbarry1
barry2						scr_rcbarry2
barry3						scr_rcbarry2
carmod_shop					scr_paintnspray
#carsteal1					scr_carsteal1
carsteal3					scr_carsteal3
carsteal4					scr_carsteal4	
carwash1					scr_carwash
carwash2					scr_carwash
chinese1					scr_chinese2
chinese2					scr_chinese2
chop						scr_amb_chop
docks_heista				scr_portoflsheist
docks_heistb				scr_portoflsheist
docks_prep1 				scr_portoflsheist
docks_prep2b				scr_portoflsheist
exile1						scr_exile1
exile2						scr_exile2
exile3						scr_exile3
extreme2					scr_rcextreme2
extreme4					scr_rcextreme2
family_scene_t0				scr_familyscenem
family_scene_m				scr_familyscenem
family1						scr_family1
family2						scr_family1
family3						scr_family3
family4						scr_family4
family5						scr_familyscenem
family6						scr_family6
fbi1						scr_fbi1
fbi3						scr_fbi3
fbi4						scr_fbi4
fbi5a						scr_fbi5a
fbi5b						scr_fbi5b
finale_heist1				scr_bigscore
finale_heist2a				scr_bigscore
finale_heist2b				scr_bigscore
finaleA						scr_finale1
finaleC2					scr_finale2
finale3						scr_finale3
franklin0					scr_franklin0
#franklin1					scr_franklin1
golf						scr_minigamegolf
golf_ai_foursome			scr_minigamegolf
golf_ai_foursome_putting	scr_minigamegolf
golf_mp						scr_minigamegolf
hairdo_shop_sp				scr_barbershop
hairdo_shop_mp				scr_barbershop
hunting_ambient				scr_hunting
jewelry_heist				scr_jewelheist
josh3						scr_josh3
lamar1						scr_lamar1
lester1a					scr_lester1a
#lester1b					scr_lester1b
martin1						scr_martin1
mg_PilotSchool				scr_minigamepilot
michael1					core_snow
michael2					scr_michael2
michael3					scr_michael2	
michael4					scr_rcpaparazzo1		
#mrsavb2					scr_rcmrsavb2
nigel1						scr_rcnigel2
nigel2						scr_rcnigel2
nice_house_heist2B 			scr_nicehseheist2c
nice_house_heist2C 			scr_nicehseheist2c
ob_bong 					scr_safehouse
ob_sofa_franklin 			scr_safehouse
ob_sofa_michael 			scr_safehouse
paparazzo3A					scr_rcpaparazzo1
paparazzo1					scr_rcpaparazzo1
paparazzo2					scr_rcpaparazzo1
paparazzo3					scr_rcpaparazzo1
paparazzo4					scr_rcpaparazzo1
paradise2					scr_paradise2_trailer
Pilot_School				scr_minigamepilot
player_scene_f_lamgraff		scr_playerlamgraff
player_scene_t_park			scr_familyscenem
player_timetable_scene		scr_player_timetable_scene
pm_plane_promotion			scr_pm_plane_promotion
prologue1					scr_prologue
re_accident					scr_reconstructionaccident
re_burials					scr_reburials
re_carTheft					scr_recartheft
re_crashrescue				scr_recrash_rescue
re_drunkdriver				scr_familyscenem
re_paparazzi				scr_rcpaparazzo1
re_Monkey					scr_playerlamgraff
re_towtruck					scr_oddjobtowtruck
heist_ctrl_rural			scr_paletoscore
rural_bank_heist			scr_paletoscore
rural_bank_setup			scr_paletoscore
solomon3					scr_solomon3
#solomon3b					scr_solomon3b
solomon4					scr_solomon3b
stunt_plane_races			scr_minigamestuntplane
taxi_clowncar				scr_oddjobtaxi
taxi_takeiteasy				scr_familyscenem
assassin_bus				scr_oddjobbusassassin
assassin_multi				scr_oddjobassassinmulti
tennis						scr_minigametennis
tennis_ambient				scr_minigametennis
tennis_family				scr_minigametennis
tennis_network_mp			scr_minigametennis
towing						scr_oddjobtowtruck
Tonya3						scr_oddjobtowtruck
traffick_air				scr_oddjobtraffickingair
traffick_ground				scr_oddjobtraffickingground
trevor1						scr_trevor1
trevor2						scr_trevor2
trevor3						scr_trevor3					



#MULTIPLAYER SCRIPT NAME	PTFX ASSET NAME

am_crate_drop				scr_oddjobtraffickingair
am_ammo_drop				scr_oddjobtraffickingair
cr_bank_heist_1				scr_cncpolicestationbustout
cr_country_heist_1			scr_cncpolicestationbustout
cr_fbi_grab					scr_cncpolicestationbustout
cr_fbi_heist_1				scr_cncpolicestationbustout
cr_polbustout				scr_cncpolicestationbustout
cr_plane_drop				scr_oddjobtraffickingair
cr_shipment_steal			scr_cncpolicestationbustout

fm_mission_creator 			scr_mp_creator
fm_mission_controller		scr_mp_controller
fm_capture_creator			scr_mp_creator
fm_deathmatch_creator 		scr_mp_creator
fm_race_creator 			scr_mp_creator
fm_intro		 			scr_mp_creator
fm_lts_creator				scr_mp_creator
fm_race_controler			scr_mp_cig
fm_bj_race_controler		scr_mp_cig
fm_deathmatch_controler		scr_mp_cig
fmmc_playlist_controler		scr_mp_cig
freemode					scr_mp_cig
fmmc_launcher				scr_mp_cig
ob_mp_shower_low			scr_mp_house
ob_mp_shower_med			scr_mp_house
ob_mp_shower_high			scr_mp_house
ob_mp_bong					scr_mp_house
am_mp_property_int			scr_mp_house

gb_contraband_buy			scr_rcbarry1

#AMBIENT SCRIPT NAME		PTFX ASSET NAME

ob_foundry_cauldron 		scr_obfoundrycauldron


SCRIPTFX_INFO_END





CUTSCENEFX_INFO_START

###### TEST CUT SCENES ######

cutsceneunittest			cut_test
toolstestscene				cut_test
toolstestsceneconcy			cut_test
toolstestscene2				cut_test
NEXTGEN_FX_TEST				cut_test

###### TV CUT SCENES - DELETE LATER ######


JHRS_2_INT_P5			cut_armenian2


###### AGENCY HEIST ######

#AH_1_EXT_T5
#AH_1_EXT_T6
#AH_1_INT_P1
#AH_1_INT_P2
#AH_1_INT_P3
#AH_1_MCS_1

#AH_2_EXT_P1
#AH_2_EXT_P2
#AH_2_EXT_P3
#AH_2_EXT_P4

#AH_3A_EXT_P1
#AH_3A_EXT_P2
AH_3A_INT					cut_agencyheist
AH_3A_INT_P2				cut_agencyheist
ah_3a_int_concat			cut_agencyheist
#AH_3A_MCS_1
#AH_3A_MCS_2
#AH_3A_MCS_3
#AH_3A_MCS_4A
#AH_3A_MCS_4B
#AH_3A_MCS_6

AH_3B_INT					cut_agencyheist
AH_3B_INT_P1				cut_agencyheist
#AH_3B_MCS_1
#AH_3B_MCS_3
#AH_3B_MCS_4
#AH_3B_MCS_5
#AH_3B_MCS_6_P1
#AH_3B_MCS_7


###### ARMENIAN ######
ARM_INTRO_P2				cut_armenian1
ARM_INTRO_P2_S1				cut_armenian1
ARM_INTRO_P2_S2				cut_armenian1
ARM_INTRO_P2_S3				cut_armenian1
ARM_INTRO_P2_S4				cut_armenian1
ARM_INTRO_P2_S5				cut_armenian1
ARM_INTRO_P2_S6				cut_armenian1
ARM_INTRO_P7				cut_armenian1
#ARM_1_INTRO_PT2A
#ARM_1_INTRO_PT2B
#ARM_1_INTRO_PT2C
#ARM_1_INTRO_PT2D
#ARM_1_INTRO_PT2E
#ARM_1_MCS_3
#ARM_2_INT_P1_ALT
armenian_1_int				cut_armenian1
armenian_1_intro_p0			cut_armenian1
#Armenian_1_INTp1
#Armenian_1_INTp3
#Armenian_1_INTp4
#Armenian_1_INTp5
#Armenian_1_INTp6
#Armenian_1_MCS_1
#Armenian_1_MCS_2
#Armenian_2_INTp1
#Armenian_2_INTp2
#Armenian_2_MCS_1
Armenian_2_MCS_3_(t1)		cut_armenian2
